family,model_type,seed,record_count,mean_nrmse,median_nrmse,worst_nrmse,mean_valid_prediction_time,median_valid_prediction_time,divergence_count,collapse_count
known_long,parameter_aware,123,3,0.04996908554903062,0.023331741769925557,0.12397754333128577,250.83666666666667,279.99,0,0
known_long,parameter_aware,456,3,7.439046531805444,6.6931536416705315,9.186351940634493,0.82,0.81,3,0
known_long,parameter_aware,789,3,0.04594894806709603,0.012844114207745633,0.11971121881149716,266.7966666666667,279.99,0,0
known_long,parameter_aware,2026,3,0.024248680432138403,0.003955274875785174,0.06620514116170657,266.9066666666667,279.99,0,0
known_long,ordinary_baseline,42,3,0.769755786616212,0.6643564305415305,1.086796076420597,14.126666666666667,13.69,0,0
known_long,ordinary_baseline,123,3,0.7730210384695843,0.6642867239904601,1.0967297770613598,14.21,13.66,0,0
known_long,ordinary_baseline,456,3,0.770623775607306,0.6641944689188662,1.090399943338048,14.166666666666666,13.71,0,0
known_long,ordinary_baseline,789,3,0.8002636322717179,0.6696902277204875,1.1741214169470464,18.296666666666667,18.82,0,0
known_long,ordinary_baseline,2026,3,0.7647185569595213,0.6635995689467099,1.0729293092228998,13.92,13.67,0,0
unseen_long,parameter_aware,42,2,0.7509265981964222,0.7509265981964222,0.7608587135684584,16.935000000000002,16.935000000000002,0,0
unseen_long,parameter_aware,123,2,0.7540965568212438,0.7540965568212438,0.7674997384597995,30.39,30.39,0,0
unseen_long,parameter_aware,456,2,6.617617894855655,6.617617894855655,6.66490332348268,0.56,0.56,2,0
unseen_long,parameter_aware,789,2,0.7637471284656769,0.7637471284656769,0.7796219976716501,7.345,7.345,0,0
unseen_long,parameter_aware,2026,2,0.4715841843412736,0.4715841843412736,0.47459459354197914,17.740000000000002,17.740000000000002,0,0
unseen_long,ordinary_baseline,42,2,0.608893047250224,0.608893047250224,0.6571195976529338,6.455,6.455,0,0
unseen_long,ordinary_baseline,123,2,0.6089357450917025,0.6089357450917025,0.6570087830327633,6.444999999999999,6.444999999999999,0,0
unseen_long,ordinary_baseline,456,2,0.6075608398282846,0.6075608398282846,0.6557263399677936,6.445,6.445,0,0
unseen_long,ordinary_baseline,789,2,0.6124307468205836,0.6124307468205836,0.6616921844166858,6.48,6.48,0,0
unseen_long,ordinary_baseline,2026,2,0.6076292650812445,0.6076292650812445,0.6555497827458382,6.4399999999999995,6.4399999999999995,0,0
continuous,parameter_aware,42,1,0.78561248920145,0.78561248920145,0.78561248920145,734.65,734.65,0,0
continuous,parameter_aware,123,1,0.7681426492396907,0.7681426492396907,0.7681426492396907,980.02,980.02,0,0
continuous,parameter_aware,456,1,7.2189193673704946,7.2189193673704946,7.2189193673704946,6.34,6.34,1,0
continuous,parameter_aware,789,1,0.8069617762750125,0.8069617762750125,0.8069617762750125,442.99,442.99,1,0
continuous,parameter_aware,2026,1,0.6974605476499918,0.6974605476499918,0.6974605476499918,980.0,980.0,0,0
continuous,ordinary_baseline,42,1,0.9620530817714608,0.9620530817714608,0.9620530817714608,2.48,2.48,0,0
continuous,ordinary_baseline,123,1,0.9651004460372042,0.9651004460372042,0.9651004460372042,2.54,2.54,0,0
continuous,ordinary_baseline,456,1,0.9596430192543919,0.9596430192543919,0.9596430192543919,2.5300000000000002,2.5300000000000002,0,0
continuous,ordinary_baseline,789,1,0.9849800641284482,0.9849800641284482,0.9849800641284482,2.62,2.62,0,0
continuous,ordinary_baseline,2026,1,0.956906774827604,0.956906774827604,0.956906774827604,2.5100000000000002,2.5100000000000002,0,0
